scores	parameters
-6.145826580374523	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_regression at 0x7f02b7b204a0>, 'model__early_stopping': True, 'model__l2_regularization': 1.0, 'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__max_features': 0.5, 'model__max_iter': 100, 'model__max_leaf_nodes': 20, 'model__min_samples_leaf': 20, 'model__tol': 0.0001, 'model__validation_fraction': 0.1
-7.554244950900667	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_regression at 0x7f02b7b204a0>, 'model__early_stopping': True, 'model__l2_regularization': 1.0, 'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__max_features': 0.5, 'model__max_iter': 100, 'model__max_leaf_nodes': 20, 'model__min_samples_leaf': 20, 'model__tol': 0.0001, 'model__validation_fraction': 0.1
