scores	parameters
-2.6876117689204495	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_regression at 0x7f42e38e84a0>, 'model__alpha': 0.001, 'model__epsilon': 1.5, 'model__fit_intercept': True, 'model__max_iter': 100, 'model__tol': 0.01
-2.871364832407644	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_regression at 0x7f42e38e84a0>, 'model__alpha': 0.001, 'model__epsilon': 1.35, 'model__fit_intercept': True, 'model__max_iter': 100, 'model__tol': 0.01
-2.914916549871629	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_regression at 0x7f42e38e84a0>, 'model__alpha': 0.01, 'model__epsilon': 1.5, 'model__fit_intercept': True, 'model__max_iter': 100, 'model__tol': 0.01
-2.941625070742265	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_regression at 0x7f42e38e84a0>, 'model__alpha': 0.01, 'model__epsilon': 1.35, 'model__fit_intercept': True, 'model__max_iter': 100, 'model__tol': 0.01
-3.91668214803126	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_regression at 0x7f42e38e84a0>, 'model__alpha': 0.01, 'model__epsilon': 1.35, 'model__fit_intercept': True, 'model__max_iter': 100, 'model__tol': 0.01
-4.739988091950822	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_regression at 0x7f42e38e84a0>, 'model__alpha': 0.01, 'model__epsilon': 1.5, 'model__fit_intercept': True, 'model__max_iter': 100, 'model__tol': 0.01
-5.083238880501044	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_regression at 0x7f42e38e84a0>, 'model__alpha': 0.001, 'model__epsilon': 1.5, 'model__fit_intercept': True, 'model__max_iter': 100, 'model__tol': 0.01
-6.646300387711824	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_regression at 0x7f42e38e84a0>, 'model__alpha': 0.001, 'model__epsilon': 1.35, 'model__fit_intercept': True, 'model__max_iter': 100, 'model__tol': 0.01
