scores	parameters
-3.9158876479520104	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_regression at 0x7f3eb87644a0>, 'model__C': 1, 'model__coef0': 0.0, 'model__degree': 3, 'model__gamma': 'scale', 'model__kernel': 'linear', 'model__max_iter': 2000, 'model__nu': 0.5, 'model__shrinking': True, 'model__tol': 0.001
-3.943300773910606	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_regression at 0x7f3eb87644a0>, 'model__C': 1, 'model__coef0': 0.0, 'model__degree': 3, 'model__gamma': 0.1, 'model__kernel': 'linear', 'model__max_iter': 2000, 'model__nu': 0.5, 'model__shrinking': True, 'model__tol': 0.001
-4.0853990240868985	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_regression at 0x7f3eb87644a0>, 'model__C': 1, 'model__coef0': 0.0, 'model__degree': 3, 'model__gamma': 0.1, 'model__kernel': 'linear', 'model__max_iter': 2000, 'model__nu': 0.5, 'model__shrinking': True, 'model__tol': 0.0001
-4.181569654989244	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_regression at 0x7f3eb87644a0>, 'model__C': 10, 'model__coef0': 0.0, 'model__degree': 3, 'model__gamma': 'scale', 'model__kernel': 'linear', 'model__max_iter': 2000, 'model__nu': 0.5, 'model__shrinking': True, 'model__tol': 0.001
-4.212961246831637	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_regression at 0x7f3eb87644a0>, 'model__C': 10, 'model__coef0': 0.0, 'model__degree': 3, 'model__gamma': 'scale', 'model__kernel': 'rbf', 'model__max_iter': 2000, 'model__nu': 0.25, 'model__shrinking': True, 'model__tol': 0.001
-4.465302631182082	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_regression at 0x7f3eb87644a0>, 'model__C': 10, 'model__coef0': 0.0, 'model__degree': 3, 'model__gamma': 0.1, 'model__kernel': 'linear', 'model__max_iter': 2000, 'model__nu': 0.5, 'model__shrinking': True, 'model__tol': 0.0001
-4.532325940122926	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_regression at 0x7f3eb87644a0>, 'model__C': 10, 'model__coef0': 0.0, 'model__degree': 3, 'model__gamma': 'scale', 'model__kernel': 'linear', 'model__max_iter': 2000, 'model__nu': 0.25, 'model__shrinking': True, 'model__tol': 0.001
-4.582803831020311	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_regression at 0x7f3eb87644a0>, 'model__C': 10, 'model__coef0': 0.0, 'model__degree': 3, 'model__gamma': 'scale', 'model__kernel': 'rbf', 'model__max_iter': 2000, 'model__nu': 0.25, 'model__shrinking': True, 'model__tol': 0.0001
-4.708935082924644	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_regression at 0x7f3eb87644a0>, 'model__C': 10, 'model__coef0': 0.0, 'model__degree': 3, 'model__gamma': 'scale', 'model__kernel': 'rbf', 'model__max_iter': 2000, 'model__nu': 0.5, 'model__shrinking': True, 'model__tol': 0.001
-4.783747768945192	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_regression at 0x7f3eb87644a0>, 'model__C': 1, 'model__coef0': 0.0, 'model__degree': 3, 'model__gamma': 'scale', 'model__kernel': 'linear', 'model__max_iter': 2000, 'model__nu': 0.25, 'model__shrinking': True, 'model__tol': 0.0001
