scores	parameters
-3.0470696449279786	'model__alpha_1': 1e-05, 'model__alpha_2': 1e-05, 'model__compute_score': False, 'model__fit_intercept': False, 'model__lambda_1': 0.0001, 'model__lambda_2': 1e-05, 'model__max_iter': 300, 'model__tol': 0.01
-3.047070050239563	'model__alpha_1': 1e-05, 'model__alpha_2': 1e-06, 'model__compute_score': False, 'model__fit_intercept': False, 'model__lambda_1': 0.0001, 'model__lambda_2': 1e-06, 'model__max_iter': 300, 'model__tol': 0.01
-3.047070360183716	'model__alpha_1': 1e-05, 'model__alpha_2': 1e-06, 'model__compute_score': False, 'model__fit_intercept': False, 'model__lambda_1': 1e-06, 'model__lambda_2': 1e-06, 'model__max_iter': 300, 'model__tol': 0.01
-3.0470709085464476	'model__alpha_1': 1e-06, 'model__alpha_2': 1e-06, 'model__compute_score': False, 'model__fit_intercept': False, 'model__lambda_1': 1e-06, 'model__lambda_2': 1e-05, 'model__max_iter': 300, 'model__tol': 0.01
-3.0470713138580323	'model__alpha_1': 1e-06, 'model__alpha_2': 1e-05, 'model__compute_score': False, 'model__fit_intercept': False, 'model__lambda_1': 0.0001, 'model__lambda_2': 1e-05, 'model__max_iter': 300, 'model__tol': 0.01
-3.0470717191696166	'model__alpha_1': 1e-06, 'model__alpha_2': 1e-05, 'model__compute_score': False, 'model__fit_intercept': False, 'model__lambda_1': 0.0001, 'model__lambda_2': 1e-06, 'model__max_iter': 300, 'model__tol': 0.01
-3.0470719575881957	'model__alpha_1': 1e-05, 'model__alpha_2': 1e-05, 'model__compute_score': False, 'model__fit_intercept': False, 'model__lambda_1': 1e-05, 'model__lambda_2': 1e-06, 'model__max_iter': 300, 'model__tol': 0.01
-3.047072005271912	'model__alpha_1': 1e-06, 'model__alpha_2': 1e-06, 'model__compute_score': False, 'model__fit_intercept': False, 'model__lambda_1': 1e-05, 'model__lambda_2': 1e-05, 'model__max_iter': 300, 'model__tol': 0.01
-3.0470721244812013	'model__alpha_1': 1e-06, 'model__alpha_2': 1e-06, 'model__compute_score': False, 'model__fit_intercept': False, 'model__lambda_1': 0.0001, 'model__lambda_2': 1e-05, 'model__max_iter': 300, 'model__tol': 0.01
-3.0470725536346435	'model__alpha_1': 1e-06, 'model__alpha_2': 1e-05, 'model__compute_score': False, 'model__fit_intercept': False, 'model__lambda_1': 1e-06, 'model__lambda_2': 1e-06, 'model__max_iter': 300, 'model__tol': 0.01
-3.0470736980438233	'model__alpha_1': 1e-06, 'model__alpha_2': 1e-06, 'model__compute_score': False, 'model__fit_intercept': False, 'model__lambda_1': 0.0001, 'model__lambda_2': 1e-06, 'model__max_iter': 300, 'model__tol': 0.01
-3.0470738410949707	'model__alpha_1': 1e-05, 'model__alpha_2': 1e-06, 'model__compute_score': False, 'model__fit_intercept': False, 'model__lambda_1': 0.0001, 'model__lambda_2': 1e-05, 'model__max_iter': 300, 'model__tol': 0.01
-3.0470739603042603	'model__alpha_1': 1e-06, 'model__alpha_2': 1e-05, 'model__compute_score': False, 'model__fit_intercept': False, 'model__lambda_1': 1e-05, 'model__lambda_2': 1e-05, 'model__max_iter': 300, 'model__tol': 0.01
-3.0470746040344237	'model__alpha_1': 1e-05, 'model__alpha_2': 1e-06, 'model__compute_score': False, 'model__fit_intercept': False, 'model__lambda_1': 1e-05, 'model__lambda_2': 1e-05, 'model__max_iter': 300, 'model__tol': 0.01
-3.047075295448303	'model__alpha_1': 1e-05, 'model__alpha_2': 1e-05, 'model__compute_score': False, 'model__fit_intercept': False, 'model__lambda_1': 1e-06, 'model__lambda_2': 1e-05, 'model__max_iter': 300, 'model__tol': 0.01
-3.047075629234314	'model__alpha_1': 1e-05, 'model__alpha_2': 1e-05, 'model__compute_score': False, 'model__fit_intercept': False, 'model__lambda_1': 0.0001, 'model__lambda_2': 1e-06, 'model__max_iter': 300, 'model__tol': 0.01
-3.0470758438110352	'model__alpha_1': 1e-06, 'model__alpha_2': 1e-06, 'model__compute_score': False, 'model__fit_intercept': False, 'model__lambda_1': 1e-06, 'model__lambda_2': 1e-06, 'model__max_iter': 300, 'model__tol': 0.01
-3.047076416015625	'model__alpha_1': 1e-05, 'model__alpha_2': 1e-05, 'model__compute_score': False, 'model__fit_intercept': False, 'model__lambda_1': 1e-06, 'model__lambda_2': 1e-06, 'model__max_iter': 300, 'model__tol': 0.01
-3.047077202796936	'model__alpha_1': 1e-05, 'model__alpha_2': 1e-06, 'model__compute_score': False, 'model__fit_intercept': False, 'model__lambda_1': 1e-06, 'model__lambda_2': 1e-05, 'model__max_iter': 300, 'model__tol': 0.01
-3.04707727432251	'model__alpha_1': 1e-06, 'model__alpha_2': 1e-05, 'model__compute_score': False, 'model__fit_intercept': False, 'model__lambda_1': 1e-05, 'model__lambda_2': 1e-06, 'model__max_iter': 300, 'model__tol': 0.01
-3.04707727432251	'model__alpha_1': 1e-06, 'model__alpha_2': 1e-06, 'model__compute_score': False, 'model__fit_intercept': False, 'model__lambda_1': 1e-05, 'model__lambda_2': 1e-06, 'model__max_iter': 300, 'model__tol': 0.01
-3.0470787286758423	'model__alpha_1': 1e-06, 'model__alpha_2': 1e-05, 'model__compute_score': False, 'model__fit_intercept': False, 'model__lambda_1': 1e-06, 'model__lambda_2': 1e-05, 'model__max_iter': 300, 'model__tol': 0.01
