scores	parameters
-2.663622588450544	'feature_selection__estimator__max_depth': 10, 'feature_selection__estimator__n_estimators': 100, 'feature_selection__max_features': 25, 'feature_selection__threshold': -inf, 'model__bootstrap': False, 'model__criterion': 'squared_error', 'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 100
-2.7142377242399207	'feature_selection__estimator__max_depth': 10, 'feature_selection__estimator__n_estimators': 100, 'feature_selection__max_features': 50, 'feature_selection__threshold': -inf, 'model__bootstrap': False, 'model__criterion': 'squared_error', 'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 100
